condition,time slice,shape factor,shape factor error,aspect ratio,aspect ratio error
MDCK,1,4.1028,0.0046,1.7223,0.0082
MDCK,3,4.1026,0.003,1.7318,0.008
MDCK,5,4.1001,0.0064,1.728,0.0143
MDCK,7,4.0974,0.0037,1.7153,0.008
MDCK,9,4.0935,0.0039,1.7157,0.0062
MDCK,11,4.0908,0.0007,1.7249,0.0043
MDCK,13,4.0913,0.004,1.7245,0.0047
MDCK,15,4.0816,0.0028,1.7006,0.0054
MDCK,17,4.0756,0.0042,1.702,0.0048
MDCK (Cn03),0,3.9991,0.0137,1.5812,0.0199
MDCK (Cn03),5,3.9895,0.014,1.5708,0.0215
MDCK (Cn03),10,3.9695,0.0159,1.5494,0.018
MDCK (Cn03),15,3.9718,0.0207,1.5601,0.0269
MDCK (Cn03),20,3.9791,0.0248,1.5707,0.0361
MDCK (Cn03),25,3.9759,0.0245,1.5754,0.036
MDCK (Cn03),30,3.9747,0.0286,1.5687,0.0415
MDCK (Cn03),35,3.9658,0.0273,1.5526,0.0362
MDCK (CytoD),1,4.0456,0.0088,1.6266,0.0113
MDCK (CytoD),4,4.0451,0.01,1.6345,0.0108
MDCK (CytoD),7,4.0337,0.0121,1.6102,0.0179
MDCK (CytoD),10,4.0242,0.0124,1.594,0.0188
MDCK (CytoD),13,4.0168,0.0139,1.5825,0.0218
MDCK (CytoD),16,4.0023,0.015,1.5556,0.0221
MDCK (CytoD),19,3.9986,0.0161,1.5479,0.0251
MDCK (CytoD),22,3.9889,0.0138,1.5328,0.0217
MCF10A,50-150,3.930542421484408,0.013071454853215524,1.5017683520131309,0.019379894881109576